system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2086452371,https://doi.org/10.1107/s0108767305089014,The Joint Center for Structural Genomics: a multi-tiered approach to structural genomics,Wiley,2005,article,Acta Crystallographica Section A Foundations of Crystallography,Marc‐André Elsliger; Amber Deacon; Adam Godzik; Peter Kühn; Scott A. Lesley; Raymond C. Stevens; Keith O. Hodgson; John Wooley; Ian A. Wilson,Scripps Research Institute; Argonne National Laboratory; Johnson C. Smith University; University of Chicago; Stanford Synchrotron Radiation Lightsource; San Diego Supercomputer Center; Genomics Institute of the Novartis Research Foundation; University of California San Diego,0,0.0,0.0,0.11102716,"Genetics, Bioinformatics, and Biomedical Research",Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,bronze,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4408075865,https://doi.org/10.1016/j.cnur.2024.12.011,Linking the Nursing Process with Genomics,Elsevier,2025,review,Nursing Clinics of North America,Sarah Dewell; Trina Walker; Noopur Swadas,Thompson Rivers University; Creighton University; Alberta Health Services,19,1.0,1.9575,0.82980045,Genomics and Rare Diseases,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,CA; US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4200550489,https://doi.org/10.3389/fevo.2021.810817,Editorial: The Genomics of Biological Invasion,Frontiers Media,2021,other,Frontiers in Ecology and Evolution,Angela McGaughran; Emiliano Mori; Claudio S. Quilodrán,University of Waikato; Institute of Ecosystem Study; National Research Council; University of Fribourg,19,1.0,0.1689,0.597968,Environmental DNA in Biodiversity Studies,Ecology,Environmental Science,Physical Sciences,True,gold,journal,False,English,NZ; IT; CH,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W3126694131,https://doi.org/10.4103/jcls.jcls_6_20,Integrating genomics education into Nigerian undergraduate medical training - A narrative review,Medknow,2021,review,Journal of Clinical Sciences,Oluwasegun Afolaranmi; Omolola Salako; Kehinde S. Okunade; Ayorinde Babatunde James; Gabriel Fagbenro,University of Ibadan; University of Lagos; Nigerian Institute of Medical Research,24,6.0,0.3257,0.54930647,"Genetics, Bioinformatics, and Biomedical Research",Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,diamond,journal,False,English,NG,True
Web of Science,Genomics,2026-04-29,Semantic Scholar,null/unknown,https://doi.org/10.1097/NNE.0000000000000297,Nurse Faculty Knowledge of and Confidence in Teaching Genetics/Genomics: Implications for Faculty Development,null/unknown,2017,null/unknown,Nurse Educator,Mary K. Donnelly; P. Nersesian; Cynthia L. Foronda; Emily L. Jones; A. Belcher,null/unknown,20,23.0,null/unknown,null/unknown,Medicine,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2478673387,https://doi.org/10.7861/clinmedicine.16-4-347,Genomics education for medical professionals - the current UK landscape,Royal College of Physicians,2016,review,Clinical Medicine,Ingrid Slade; Deepak Subramanian; Hilary Burton,University of Oxford; Oxford University Hospitals NHS Trust; PHG Foundation,20,37.0,3.3044,0.92058467,BRCA gene mutations in cancer,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,diamond,journal,False,English,GB,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4401873323,https://doi.org/10.1371/journal.pbio.3002804,GetGenome: Overcoming inequalities in access to genomics technology,Public Library of Science,2024,article,PLoS Biology,James Canham; Joe Win; GetGenome Network; Sophien Kamoun,Norwich Research Park; Sainsbury Laboratory,6,1.0,0.2185,0.56519055,"Genetics, Bioinformatics, and Biomedical Research",Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,gold,journal,False,English,GB,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4381544250,https://doi.org/10.3389/fgene.2023.1223492,Editorial: Functional genomics of secondary metabolite biosynthesis in medicinal plants,Frontiers Media,2023,other,Frontiers in Genetics,Monica Saifi; Mather Ali Khan; Malik Zainul Abdin,Jamia Hamdard; Department of Biotechnology; University of Missouri,1,0.0,0.0,0.25506533,Plant Gene Expression Analysis,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,gold,journal,False,English,IN; US,True
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2899699655,https://doi.org/10.1016/j.jgg.2018.09.005,Conservation genetics and genomics of threatened vertebrates in China,Elsevier,2018,review,Journal of genetics and genomics/Journal of Genetics and Genomics,Huizhong Fan; Yibo Hu; Qi Wu; Yonggang Nie; Yan Li; Fuwen Wei,University of Chinese Academy of Sciences; Chinese Academy of Sciences; Institute of Zoology,112,18.0,0.7555,0.71235598,Biochemical Analysis and Sensing Techniques,Nutrition and Dietetics,Nursing,Health Sciences,False,closed,journal,False,English,CN,True
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4414552661,https://doi.org/10.3389/fonc.2025.1675850,Editorial: Accelerating cancer genomics research in Sub-Saharan Africa,Frontiers Media,2025,other,Frontiers in Oncology,Folakemi T. Odedina; Solomon O. Rotimi; Abdou Azaque Zouré,Prostate Cancer Foundation; Jacksonville College; Mayo Clinic in Florida; Covenant University; Institut de Recherche en Sciences de la Santé,0,0.0,0.0,0.3253213,Cancer Genomics and Diagnostics,Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,gold,journal,False,English,US; NG; BF,True
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4401345663,https://doi.org/10.3389/fmed.2024.1445026,Editorial: Cutaneous oncology and skin cancer genomics,Frontiers Media,2024,other,Frontiers in Medicine,Bahar Dasgeb,"Rutgers, The State University of New Jersey",0,0.0,0.0,0.22030661,Cutaneous Melanoma Detection and Management,Oncology,Medicine,Health Sciences,True,gold,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2993246561,https://doi.org/10.3390/genes10121017,Computational Strategies for Scalable Genomics Analysis,Multidisciplinary Digital Publishing Institute,2019,article,Genes,Lizhen Shi; Zhong Wang,"Florida State University; Lawrence Berkeley National Laboratory; University of California, Merced; Joint Genome Institute",58,17.0,1.0163,0.83355428,Algorithms and Data Compression,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2155027542,https://doi.org/10.1111/nph.12205,"Bridging mycorrhizal genomics, metagenomics and forest ecology",Wiley,2013,article,New Phytologist,Roland Marmeisse; Uwe Nehls; Maarja Öpik; Marc‐André Selosse; Anne Pringle,Centre National de la Recherche Scientifique; Université Claude Bernard Lyon 1; University of Bremen; University of Tartu; Université de Montpellier; Centre d'Écologie Fonctionnelle et Évolutive; Harvard University,21,17.0,4.9972,0.94722246,Mycorrhizal Fungi and Plant Interactions,Plant Science,Agricultural and Biological Sciences,Life Sciences,False,closed,journal,False,English,FR; DE; EE; US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W3113972686,https://doi.org/10.1016/j.gde.2020.11.006,Advancing global equity in cancer genomics - challenges and opportunities in Sub-Saharan Africa,Elsevier,2020,review,Current Opinion in Genetics & Development,Nchangwi Syntia Munung; Melvin Ambele; Pontsho Moela,University of Cape Town; South African Medical Research Council; University of Pretoria,37,10.0,0.418,0.61390952,"Genetics, Bioinformatics, and Biomedical Research",Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,ZA,True
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2103918517,https://doi.org/10.1146/annurev-ecolsys-081913-123118,"Introduction to Theme ""Genomics in Ecology, Evolution, and Systematics""",Annual Reviews,2013,article,Annual Review of Ecology Evolution and Systematics,H. Bradley Shaffer; Michael D. Purugganan,"University of California, Los Angeles; California Department of Conservation; New York University",14,14.0,3.18,0.91525039,Chromosomal and Genetic Variations,Plant Science,Agricultural and Biological Sciences,Life Sciences,False,closed,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,Semantic Scholar,null/unknown,https://doi.org/10.1145/3148055.3148072,Genomics Analyser: A Big Data Framework for Analysing Genomics Data,null/unknown,2017,null/unknown,BDCAT,Tariq Abdullah; Ahmed Ahmet,null/unknown,42,4.0,null/unknown,null/unknown,Computer Science,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4200364457,https://doi.org/10.1016/j.gim.2021.11.023,"Correspondence on ""Ensuring best practice in genomics education and evaluation: Reporting item standards for education and its evaluation in genomics (RISE2 Genomics)"" by Nisselle et al",Elsevier,2021,other,Genetics in Medicine,Andrew Dwyer; Kathleen A. Calzone; Sarah Dewell; Laurie Badzek; Christine Patch,Boston College; National Cancer Institute; University of Northern British Columbia; Pennsylvania State University; Genomics England,9,2.0,0.7593,0.81830302,Delphi Technique in Research,Sociology and Political Science,Social Sciences,Social Sciences,True,green,journal,False,English,US; CA; GB,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2213613642,null/unknown,Cancer genomics object model: an object model for multiple functional genomics data for cancer research.,National Institutes of Health,2007,article,PubMed,Yu Rang Park; Hye Won Lee; Sung Bum Cho; Ju Han Kim,Seoul National University,13,2.0,0.1309,0.53889328,Gene expression and cancer classification,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,repository,False,English,KR,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4297534147,https://doi.org/10.1016/j.profnurs.2022.09.004,Faculty education to improve integration of genomics education in nursing curriculum,Elsevier,2022,review,Journal of Professional Nursing,Mary Alison Smania; Ann Annis; Dola Pathak; Elizabeth Wasilevich; Kathleen Poindexter,Michigan State University,35,14.0,2.2441,0.88661722,BRCA gene mutations in cancer,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4413054242,https://doi.org/10.1097/nne.0000000000001947,Competency Framework Development for Genomics Nurse Educators,Lippincott Williams & Wilkins,2025,article,Nurse Educator,Deborah O. Himes; Jennifer R. Dungan; Sarah Dewell; Sarah Davis; Linda Ward; Ruth F. Lucas,Thompson Rivers University; Lucas Research; SteelCloud (United States); Caldwell University,38,4.0,6.1101,0.96595472,BRCA gene mutations in cancer,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,hybrid,journal,False,English,CA; US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2058647674,https://doi.org/10.1590/s0103-84782010000300040,Sequenciamento de DNA de nova geração e suas aplicações na genômica de plantas,Universidade Federal de Santa Maria,2010,article,Ciência Rural,Mayra Costa da Cruz Gallo de Carvalho; Danielle Cristina Gregorio da Silva,Universidade Estadual Paulista (Unesp); Universidade Estadual do Norte do Paraná,25,23.0,1.2248,0.77771171,CRISPR and Genetic Engineering,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,gold,journal,False,Portuguese,BR,True
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2439188122,null/unknown,[On interrelation between genetic systematics and genomics].,National Institutes of Health,2003,article,PubMed,Antonov As,Lomonosov Moscow State University,0,0.0,null/unknown,null/unknown,"Nutrition, Genetics, and Disease",Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,repository,False,English,RU,True
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2159281733,https://doi.org/10.1111/j.1365-294x.2010.04743.x,Ecological genomics-changing perspectives on Darwin's basic concerns,Wiley,2010,review,Molecular Ecology,Suzy C. P. Renn; David H. Siemens,Black Hills State University; Reed College,17,13.0,1.0574,0.76159051,"Genetics, Bioinformatics, and Biomedical Research",Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W3209753144,https://doi.org/10.1177/00333549211055708,Are We Prepared for Precision Public Health? An Examination of Genomics Content in Graduate Public Health Programs,SAGE Publishing,2021,article,Public Health Reports,Karen Niemchick; Ally Goerge; Amy Ponte,Grand Valley State University,19,4.0,0.3308,0.67933461,BRCA gene mutations in cancer,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,bronze,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4242208300,https://doi.org/10.1007/s10336-007-0238-x,Genomics and ornithology,Springer,2007,article,Journal für Ornithologie,Scott V. Edwards,Harvard University,25,4.0,0.1809,0.65440995,Animal Genetics and Reproduction,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4200130360,https://doi.org/10.1016/j.gim.2021.11.022,Response to Dwyer et al,Elsevier,2021,other,Genetics in Medicine,Clara Gaff; Amy Nisselle,Melbourne Genomics Health Alliance,2,0.0,0.0,0.16673944,BRCA gene mutations in cancer,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,AU,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W1964996688,https://doi.org/10.5888/pcd9.120190,Evaluation of State Comprehensive Cancer Control Plans for Genomics Content,Centers for Disease Control and Prevention,2012,article,Preventing Chronic Disease,Jason Laufman; Debra Duquette; Angela Trepanier,Wayne State University; Michigan Department of Health and Human Services,16,5.0,0.4089,0.74484533,Ethics in Clinical Research,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,True,diamond,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W3151015149,https://doi.org/10.1590/0074-02760200634,"Genomics and functional genomics in Leishmania and Trypanosoma cruzi: statuses, challenges and perspectives","Instituto Oswaldo Cruz, Ministério da Saúde",2021,review,Memórias do Instituto Oswaldo Cruz,Daniella Castanheira Bartholomeu; Santuza Maria Ribeiro Teixeira; Ângela K. Cruz,Universidade Federal de Minas Gerais; Universidade de Ribeirão Preto; Universidade de São Paulo,43,16.0,1.8322,0.84967395,Trypanosoma species research and implications,Epidemiology,Medicine,Health Sciences,True,diamond,journal,False,English,BR,True
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W3004813647,https://doi.org/10.1002/pon.5331,The New Genomics Era: Integration of genomics into mainstream oncology and implications for psycho‐oncological care,Wiley,2020,other,Psycho-Oncology,Elizabeth Bancroft; Kelly Kohut; Rosalind A. Eeles,Royal Marsden NHS Foundation Trust; Institute of Cancer Research; St George's University Hospitals NHS Foundation Trust,39,5.0,0.3603,0.65884483,BRCA gene mutations in cancer,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,GB,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W1998831176,https://doi.org/10.1002/humu.22530,Genomics into Healthcare: The 5th Pan Arab Human Genetics Conference and 2013 Golden Helix Symposium,Wiley,2014,article,Human Mutation,Paolo Fortina; Najib Al Khaja; Mahmoud Taleb Al Ali; Abdul Rezzak Hamzeh; Pratibha Nair; Federico Innocenti; George P. Patrinos; Larry J. Kricka,Thomas Jefferson University; Sidney Kimmel Cancer Center; Sapienza University of Rome; Dubai Medical College; Centre for Arab Genomic Studies; University of North Carolina at Chapel Hill; University of Patras; University of Pennsylvania,14,7.0,0.5691,0.66342047,"Genetics, Bioinformatics, and Biomedical Research",Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,hybrid,journal,False,English,US; IT; AE; GR,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4403701684,https://doi.org/10.3389/fpubh.2024.1426318,Identifying factors that influence the use of pathogen genomics in Australia and New Zealand: a protocol,Frontiers Media,2024,article,Frontiers in Public Health,James D. H. Ong; Tehzeeb Zulfiqar; Kathryn Glass; Martyn Kirk; Brad Astbury; Angeline Ferdinand,The University of Melbourne; Peter Doherty Institute; Melbourne Health; Australian National University; Melbourne Genomics Health Alliance,54,0.0,0.5149,0.25080287,Animal Disease Management and Epidemiology,Agronomy and Crop Science,Agricultural and Biological Sciences,Life Sciences,True,gold,journal,False,English,AU,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2005877344,https://doi.org/10.1016/j.pt.2014.04.010,The failure of genomics in biology,Elsevier,2014,article,Trends in Parasitology,Mark Viney,University of Bristol,9,18.0,1.8503,0.84900987,CRISPR and Genetic Engineering,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,GB,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4294668065,https://doi.org/10.46234/ccdcw2022.147,"Ethical, Legal, and Social Implications of Genomics in China: A Scoping Review and Implications for Precision Public Health.",National Institutes of Health,2022,review,PubMed,Zhuo Chen; Wei Jiang; XU Jian-hong; Lan Jiang; Guoyu Wang,University of Georgia,6,2.0,0.118,0.46504342,Biomedical Ethics and Regulation,Physiology,Medicine,Health Sciences,True,green,repository,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2141699564,https://doi.org/10.1111/j.1365-2621.2001.tb15171.x,Nutrigenomics: Application of Genomics Technologies in Nutritional Sciences and Food Technology,Wiley,2001,article,Journal of Food Science,Mariët J. van der Werf; Frank Schuren; Sabina Bijlsma; A.C. Tas; Ben van Ommen,Food & Nutrition,58,46.0,1.5837,0.83657037,"Nutrition, Genetics, and Disease",Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,NL,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2155595079,https://doi.org/10.1098/rstb.2007.2030,Rice functional genomics research in China,Royal Society,2007,article,Philosophical Transactions of the Royal Society B Biological Sciences,Bin Han; Yongbiao Xue; Jiayang Li; Xing‐Wang Deng; Qifa Zhang,"Shanghai Institutes for Biological Sciences; Center for Excellence in Molecular Plant Sciences; Chinese Academy of Sciences; National Center for Gene Research; State Key Laboratory of Plant Genomics; Institute of Genetics and Developmental Biology; Yale University; Peking University; National Institute of Biological Sciences, Beijing; Huazhong Agricultural University",73,30.0,0.9078,0.78446048,Genetic Mapping and Diversity in Plants and Animals,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,green,journal,False,English,CN; US,True
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4385483442,https://doi.org/10.3389/fgene.2023.1261876,Editorial: Integration of computational genomics into clinical pharmacogenomic tests: how bioinformatics may help primary care in precision medicine area,Frontiers Media,2023,other,Frontiers in Genetics,Alireza Tafazoli; Mohammad Reza Abbaszadegan; George P. Patrinos,Polish Academy of Sciences; Maj Institute of Pharmacology; Medical University of Białystok; Mashhad University of Medical Sciences; United Arab Emirates University; University of Patras; Zayed University,3,1.0,0.2458,0.56457981,Pharmacogenetics and Drug Metabolism,Pharmacology,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences,True,gold,journal,False,English,PL; IR; AE; GR,True
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4401499307,https://doi.org/10.3389/fmed.2024.1404741,Developing leadership competencies for genomics integration through globally networked learning and education,Frontiers Media,2024,article,Frontiers in Medicine,Jacqueline Limoges; Arja Halkoaho; Mari Laaksonen; Muskaan Karwal,Athabasca University; Tampere University of Applied Sciences,39,5.0,2.5454,0.90012645,BRCA gene mutations in cancer,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,gold,journal,False,English,CA; FI,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W3187145485,https://doi.org/10.3390/biom11081161,Clinical Perspectives of Single-Cell RNA Sequencing,Multidisciplinary Digital Publishing Institute,2021,review,Biomolecules,Nayoung Kim; Hye Hyeon Eum; Hae‐Ock Lee,Catholic University of Korea,109,20.0,1.3262,0.78045954,Cancer Genomics and Diagnostics,Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,gold,journal,False,English,KR,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4288421434,https://doi.org/10.1145/3535508.3545104,Comparison of cohort-based identical-by-descent (IBD) segment finding methods for endogamous populations,null/unknown,2022,article,null/unknown,Huyen Trang Dang; Shi Jie Samuel Tan; Sara Mathieson,Bryn Mawr College; Haverford College,3,0.0,0.0,0.10049709,Forensic and Genetic Research,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,null/unknown,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W3176402876,https://doi.org/10.1038/s41569-021-00586-5,A call for training programmes in cardiovascular genomics,Nature,2021,review,Nature Reviews Cardiology,Maya Safarova; Michael J. Ackerman; Iftikhar J. Kullo,University of Kansas Medical Center; Heart Rhythm Society; Mayo Clinic,5,6.0,0.9413,0.76373583,Cardiomyopathy and Myosin Studies,Cardiology and Cardiovascular Medicine,Medicine,Health Sciences,False,closed,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4408321595,https://doi.org/10.1016/j.psc.2025.01.005,Ethical Considerations in Psychiatric Genomics,Elsevier,2025,review,Psychiatric Clinics of North America,Dan J. Stein; Anna Hartford,Groote Schuur Hospital; University of Cape Town,64,1.0,1.7279,0.81686822,BRCA gene mutations in cancer,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,ZA,True
