system,query word,query datetime,rank,dataset,openalex id,doi,title,year,type,publication venue,publisher,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
GPT,Econometrics,2026-04-29 11:40:00,49,OpenAlex,https://openalex.org/W3123436326,https://doi.org/10.1111/ectj.12097,Double/debiased machine learning for treatment and structural parameters,2017.0,article,Econometrics Journal,Oxford University Press,Victor Chernozhukov; Denis Chetverikov; Mert Demirer; Esther Duflo; Christian Hansen; Whitney K. Newey; James M. Robins,"Massachusetts Institute of Technology; University of California, Los Angeles; University of Chicago; Harvard University",94,2272.0,49.3266,0.99908278,Statistical Methods and Inference,Statistics and Probability,Mathematics,Physical Sciences,True,bronze,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,50,OpenAlex,https://openalex.org/W1886275324,https://doi.org/10.1257/aer.p20151022,Post-Selection and Post-Regularization Inference in Linear Models with Many Controls and Instruments,2015.0,article,American Economic Review,American Economic Association,Victor Chernozhukov; Christian Hansen; Martin Spindler,Massachusetts Institute of Technology; University of Chicago,14,202.0,20.6141,0.99260278,Consumer Market Behavior and Pricing,Marketing,"Business, Management and Accounting",Social Sciences,True,bronze,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,51,OpenAlex,https://openalex.org/W2886798606,https://doi.org/10.1017/cbo9781139060035.008,Inference for High-Dimensional Sparse Econometric Models,2013.0,book chapter,Cambridge University Press eBooks,Cambridge University Press,Alexandre Belloni; Victor Chernozhukov; Christian Hansen,Duke University; Massachusetts Institute of Technology; University of Chicago,40,73.0,13.2115,0.99308336,Statistical Methods and Inference,Statistics and Probability,Mathematics,Physical Sciences,False,closed,ebook platform,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,52,OpenAlex,https://openalex.org/W2098895596,https://doi.org/10.2139/ssrn.1908409,Lasso Methods for Gaussian Instrumental Variables Models,2011.0,article,SSRN Electronic Journal,RELX Group (Netherlands),Alexandre Belloni; Victor Chernozhukov; Christian Hansen,Massachusetts Institute of Technology; New Economic School; University of Chicago,34,81.0,null/unknown,null/unknown,Statistical Methods and Inference,Statistics and Probability,Mathematics,Physical Sciences,True,green,repository,False,English,US; RU,True
GPT,Econometrics,2026-04-29 11:40:00,53,OpenAlex,https://openalex.org/W2163162137,https://doi.org/10.3982/ecta9626,Sparse Models and Methods for Optimal Instruments With an Application to Eminent Domain,2012.0,article,Econometrica,Wiley,A. Belloni; D. Chen; V. Chernozhukov; C. Hansen,null/unknown,84,914.0,114.2845,0.99957514,Housing Market and Economics,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,null/unknown,False
GPT,Econometrics,2026-04-29 11:40:00,54,OpenAlex,https://openalex.org/W2949148940,https://doi.org/10.1146/annurev-economics-012315-015826,"Valid Post-Selection and Post-Regularization Inference: An Elementary, General Approach",2015.0,article,Annual Review of Economics,Annual Reviews,Victor Chernozhukov; Christian Hansen; Martin Spindler,Massachusetts Institute of Technology; University of Chicago,80,144.0,8.4721,0.98077114,Statistical Methods and Inference,Statistics and Probability,Mathematics,Physical Sciences,True,bronze,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,55,OpenAlex,https://openalex.org/W2952875417,https://doi.org/10.1093/restud/rdy065,Inference on Causal and Structural Parameters using Many Moment Inequalities,2018.0,article,The Review of Economic Studies,Oxford University Press,Victor Chernozhukov; Denis Chetverikov; Kengo Kato,Moscow Institute of Thermal Technology; UCLA Health; Cornell University,50,85.0,10.1403,0.9766563,Consumer Market Behavior and Pricing,Marketing,"Business, Management and Accounting",Social Sciences,True,bronze,journal,False,English,RU; US,True
GPT,Econometrics,2026-04-29 11:40:00,57,OpenAlex,https://openalex.org/W2135787192,https://doi.org/10.3982/ecta6865,Moment Inequalities and Their Application,2015.0,article,Econometrica,Wiley,Ariel Pakes; Jack Porter; Kate Ho; Joy Ishii,Harvard University Press; University of Wisconsin–Madison; Columbia University; El Camino Hospital,52,327.0,56.6562,0.99901062,Consumer Market Behavior and Pricing,Marketing,"Business, Management and Accounting",Social Sciences,True,green,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,58,OpenAlex,https://openalex.org/W2146404930,https://doi.org/10.1080/07350015.2014.978175,Identification and Inference With Many Invalid Instruments,2014.0,article,Journal of Business and Economic Statistics,Taylor & Francis,Michal Kolesár; Raj Chetty; John N. Friedman; Edward L. Glaeser; Guido W. Imbens,Princeton University; Harvard University Press; Harvard University; John F. Kennedy University; Stanford University,74,146.0,6.7472,0.97149669,Statistical Methods and Inference,Statistics and Probability,Mathematics,Physical Sciences,True,green,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,61,OpenAlex,https://openalex.org/W2047670349,https://doi.org/10.2307/2554258,Asymptotic Theory for Econometricians.,1988.0,article,Economica,Wiley,Peter M. Robinson; Hannah J. White,null/unknown,0,1365.0,44.8871,1.0,Mathematical Dynamics and Fractals,Mathematical Physics,Mathematics,Physical Sciences,False,closed,journal,False,English,null/unknown,False
GPT,Econometrics,2026-04-29 11:40:00,62,OpenAlex,https://openalex.org/W2019302713,https://doi.org/10.2307/1913621,A Method of Simulated Moments for Estimation of Discrete Response Models Without Numerical Integration,1989.0,article,Econometrica,Wiley,Daniel McFadden,Massachusetts Institute of Technology,29,1660.0,37.1542,0.99870676,Probabilistic and Robust Engineering Design,"Statistics, Probability and Uncertainty",Decision Sciences,Social Sciences,False,closed,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,67,OpenAlex,https://openalex.org/W2110603299,https://doi.org/10.2307/1913236,"Co-Integration and Error Correction: Representation, Estimation, and Testing",1987.0,article,Econometrica,Wiley,Robert F. Engle; C. W. J. Granger,"University of California, San Diego",0,31765.0,303.7697,1.0,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,68,OpenAlex,https://openalex.org/W2153562738,https://doi.org/10.1016/0165-1889(88)90041-3,Statistical analysis of cointegration vectors,1988.0,article,Journal of Economic Dynamics and Control,Elsevier BV,Søren Johansen,University of Copenhagen,31,16697.0,87.5932,0.9997619,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,DK,False
GPT,Econometrics,2026-04-29 11:40:00,70,OpenAlex,https://openalex.org/W2144380346,https://doi.org/10.1016/0304-4076(74)90034-7,Spurious regressions in econometrics,1974.0,article,Journal of Econometrics,Elsevier BV,Clive W. J. Granger; Paul Newbold,University of Nottingham,14,6137.0,64.7187,0.99916978,Transportation Planning and Optimization,Transportation,Social Sciences,Social Sciences,False,closed,journal,False,English,GB,False
GPT,Econometrics,2026-04-29 11:40:00,71,OpenAlex,https://openalex.org/W1502173616,https://doi.org/10.1017/cbo9780511751974,"Unit Roots, Cointegration, and Structural Change",1999.0,book chapter,Cambridge University Press eBooks,Cambridge University Press,G. S. Maddala; In-Moo Kim,Sungkyunkwan University,0,1840.0,48.4706,1.0,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,False,closed,ebook platform,False,English,KR,False
GPT,Econometrics,2026-04-29 11:40:00,72,OpenAlex,https://openalex.org/W2065747393,https://doi.org/10.1198/073500102753410372,"Further Evidence on the Great Crash, the Oil-Price Shock, and the Unit-Root Hypothesis",2002.0,article,Journal of Business and Economic Statistics,Taylor & Francis,Eric Zivot; Donald W. K. Andrews,Yale University,26,5721.0,405.911,0.99996599,Market Dynamics and Volatility,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,73,OpenAlex,https://openalex.org/W2097580026,https://doi.org/10.1093/biomet/75.2.335,Testing for a unit root in time series regression,1988.0,article,Biometrika,Oxford University Press,Peter C.B. Phillips; Pierre Perrón,Université de Montréal,21,17794.0,196.6136,0.99997436,Complex Systems and Time Series Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,CA,False
GPT,Econometrics,2026-04-29 11:40:00,75,OpenAlex,https://openalex.org/W2787739583,https://doi.org/10.22004/ag.econ.267428,Testing for Structural Change in Cointegrated Regression Models,1993.0,article,"AgEcon Search (University of Minnesota, USA)",University of Minnesota Rochester,"Hao Kang; Brett Inder; Hao, Kang; Inder, Brett",null/unknown,0,6.0,0.0,0.31760594,Statistical Methods and Inference,Statistics and Probability,Mathematics,Physical Sciences,True,green,repository,False,English,null/unknown,False
GPT,Econometrics,2026-04-29 11:40:00,76,OpenAlex,https://openalex.org/W1491711721,https://doi.org/10.2307/2998540,Estimating and Testing Linear Models with Multiple Structural Changes,1998.0,article,Econometrica,Wiley,Jushan Bai; Pierre Perrón,null/unknown,11,5944.0,32.0903,0.99835742,Advanced Statistical Methods and Models,Statistics and Probability,Mathematics,Physical Sciences,True,green,journal,False,English,null/unknown,False
GPT,Econometrics,2026-04-29 11:40:00,77,OpenAlex,https://openalex.org/W1547068196,https://doi.org/10.1002/jae.659,Computation and analysis of multiple structural change models,2002.0,preprint,Journal of Applied Econometrics,Wiley,Jushan Bai; Pierre Perrón,Boston College; Bay State College; Boston University,18,609.0,11.62323868,0.99098444,Statistical Methods and Inference,Statistics and Probability,Mathematics,Physical Sciences,False,closed,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,78,Semantic Scholar,null/unknown,https://doi.org/10.1016/0304-4076(89)90087-0,A new test for structural stability in the linear regression model,1989.0,null/unknown,null/unknown,null/unknown,W. Ploberger; W. Krämer; K. Kontrus,null/unknown,13,363.0,null/unknown,null/unknown,Mathematics,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
GPT,Econometrics,2026-04-29 11:40:00,79,OpenAlex,https://openalex.org/W2144452471,https://doi.org/10.2307/2951764,Tests for Parameter Instability and Structural Change With Unknown Change Point,1993.0,article,Econometrica,Wiley,Donald W. K. Andrews,null/unknown,40,4306.0,59.375,0.99943598,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,null/unknown,False
GPT,Econometrics,2026-04-29 11:40:00,81,OpenAlex,https://openalex.org/W1537150656,https://doi.org/10.1007/978-0-387-71727-2,The demand for money : theoretical and empirical approaches,2001.0,book chapter,null/unknown,null/unknown,Apostolos Serletis,null/unknown,0,56.0,1.1584,0.78327645,Economic Theory and Policy,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,False,closed,null/unknown,False,English,null/unknown,False
GPT,Econometrics,2026-04-29 11:40:00,83,OpenAlex,https://openalex.org/W1970883168,https://doi.org/10.1016/0304-4076(81)90085-3,Panel data and unobservable individual effects,1981.0,article,Journal of Econometrics,Elsevier BV,JerryA. Hausman; WilliamE. Taylor,Massachusetts Institute of Technology; Nokia (United States),0,2354.0,36.9616,0.996546,Economic Policies and Impacts,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,True,green,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,85,OpenAlex,https://openalex.org/W3125844422,https://doi.org/10.2307/2669498,Generalized Method of Moments Estimation,2000.0,article,Journal of the American Statistical Association,null/unknown,Guido M. Kuersteiner; László Mátyás,null/unknown,0,139.0,31.3527,0.99539323,Climate Change Policy and Economics,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,null/unknown,False
GPT,Econometrics,2026-04-29 11:40:00,88,Crossref,null/unknown,https://doi.org/10.1080/07350015.1993.10509933,Seminonparametric Estimation of Binary-Choice Models With an Application to Labor-Force Participation,1993.0,article,Journal of Business &amp; Economic Statistics,Informa UK Limited,Siegfried Gabler; François Laisney; Michael Lechner,null/unknown,41,86.0,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
