system,query word,query datetime,rank,dataset,openalex id,doi,title,year,type,source,publisher,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status
Google Scholar,Machine Translation,2026-05-31 11:29:00,17,OpenAlex,https://openalex.org/W1964728295,,"Machine Translation: Past, Present, Future",1986,book,Medical Entomology and Zoology,Japan Society of Medical Entomology and Zoology,W. John Hutchins,University of East Anglia,0,269,3.0484,0.94391245,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed
Google Scholar,Machine Translation,2026-05-31 11:29:00,19,OpenAlex,https://openalex.org/W4360584537,https://doi.org/10.2139/ssrn.4390455,Towards Making the Most of ChatGPT for Machine Translation,2023,article,SSRN Electronic Journal,RELX Group (Netherlands),Keqin Peng; Liang Ding; Qihuang Zhong; Li Shen; Xuebo Liu; Min Zhang; Yuanxin Ouyang; Dacheng Tao,Beihang University; Jingdong (China); École de management de Lyon; Harbin Institute of Technology,0,102,,,Topic Modeling,Artificial Intelligence,Computer Science,Physical Sciences,True,green
Google Scholar,Machine Translation,2026-05-31 11:29:00,20,OpenAlex,https://openalex.org/W2945415576,https://doi.org/10.1145/3406095,A Survey of Multilingual Neural Machine Translation,2020,article,ACM Computing Surveys,Association for Computing Machinery,Raj Dabre; Chenhui Chu; Anoop Kunchukuttan,National Institute of Information and Communications Technology; The University of Osaka; Microsoft (India),74,10,1.0881,0.82097607,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,hybrid
Google Scholar,Machine Translation,2026-05-31 11:29:00,21,OpenAlex,https://openalex.org/W1615927100,,Machine translation : a view from the lexicon,1993,book,,,Bonnie J. Dorr,,4,193,8.1565,0.9699321,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed
Google Scholar,Machine Translation,2026-05-31 11:29:00,22,OpenAlex,https://openalex.org/W22168010,,Europarl: A Parallel Corpus for Statistical Machine Translation,2005,article,,,Philipp Koehn,,9,3110,84.5143,0.99967489,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed
Google Scholar,Machine Translation,2026-05-31 11:29:00,23,OpenAlex,https://openalex.org/W2026222783,https://doi.org/10.7202/1025047ar,Translation Skill-Sets in a Machine-Translation Age,2014,article,Meta Journal des traducteurs,Presses de l'Université de Montréal,Anthony Pym,Stellenbosch University; Universitat Rovira i Virgili,24,240,14.3747,0.98923306,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,green
Google Scholar,Machine Translation,2026-05-31 11:29:00,24,OpenAlex,https://openalex.org/W2793348910,https://doi.org/10.48550/arxiv.1803.07416,Tensor2Tensor for Neural Machine Translation,2018,preprint,arXiv (Cornell University),Cornell University,Ashish Vaswani; Samy Bengio; Eugene Brevdo; François Chollet; Aidan N. Gomez; Stephan Gouws; Llion Jones; Łukasz Kaiser; Nal Kalchbrenner; Niki Parmar; Ryan Sepassi; Noam Shazeer; Jakob Uszkoreit,Google (United States),17,14,,,Topic Modeling,Artificial Intelligence,Computer Science,Physical Sciences,True,green
Google Scholar,Machine Translation,2026-05-31 11:29:00,25,OpenAlex,https://openalex.org/W2133564696,https://doi.org/10.48550/arxiv.1409.0473,Neural Machine Translation by Jointly Learning to Align and Translate,2014,preprint,arXiv (Cornell University),Cornell University,Dzmitry Bahdanau,Constructor University,22,14596,,,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,green
Google Scholar,Machine Translation,2026-05-31 11:29:00,26,OpenAlex,https://openalex.org/W2625092622,https://doi.org/10.18653/v1/w17-3204,Six Challenges for Neural Machine Translation,2017,preprint,,,Philipp Koehn; Rebecca Knowles,Johns Hopkins University; Laboratoire d'Informatique de Paris-Nord,12,90,14.9807,0.99129013,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,gold
Google Scholar,Machine Translation,2026-05-31 11:29:00,27,OpenAlex,https://openalex.org/W2806311723,https://doi.org/10.18653/v1/w18-6301,Scaling Neural Machine Translation,2018,preprint,,,Myle Ott; Sergey Edunov; David Grangier; Michael Auli,Google (United States); Meta (Israel); Meta (United States),28,80,12.3785,0.98794244,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,gold
Google Scholar,Machine Translation,2026-05-31 11:29:00,28,OpenAlex,https://openalex.org/W1756864244,,"A survey of machine translation: its history, current status, and future prospects",1985,article,The COCOON platform (University of Paris),Université Paris-Sud,Jonathan Slocum,,21,131,21.6995,0.99403302,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed
Google Scholar,Machine Translation,2026-05-31 11:29:00,30,OpenAlex,https://openalex.org/W1501883592,https://doi.org/10.1007/978-1-4471-0587-9,Translation Engines: Techniques for Machine Translation,1999,book,Applied computing,,Arturo Trujillo,,0,138,2.7888,0.92006395,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed
Web of Science,Machine Translation,2026-05-31 09:54:00,1,OpenAlex,https://openalex.org/W4394783881,https://doi.org/10.1007/s10639-024-12650-x,Understanding machine translation fit for language learning: The mediating effect of machine translation literacy,2024,article,Education and Information Technologies,Springer Science+Business Media,Yanxia Yang,Nanjing Agricultural University,62,6,5.9376,0.95989721,Technology Adoption and User Behaviour,Information Systems and Management,Decision Sciences,Social Sciences,False,closed
Web of Science,Machine Translation,2026-05-31 09:54:00,3,OpenAlex,https://openalex.org/W4290079452,https://doi.org/10.1155/2022/7428563,Artificial Intelligence-based Machine English-Assisted Translation in the Internet of Things Environment,2022,article,Computational Intelligence and Neuroscience,Hindawi Publishing Corporation,Wanfang Zhang; Yuan Tang,Wuhan Polytechnic University; Jiaxing University,32,7,0.572,0.60434113,Medical Imaging and Analysis,Biomedical Engineering,Engineering,Physical Sciences,True,hybrid
Web of Science,Machine Translation,2026-05-31 09:54:00,7,OpenAlex,https://openalex.org/W4285086495,https://doi.org/10.1155/2022/9121636,The Relationship between Machine Translation and Human Translation under the Influence of Artificial Intelligence Machine Translation,2022,article,Mobile Information Systems,IOS Press,Zhao Lihua,Sanya University,5,17,2.3582,0.900373,Educational Technology and Pedagogy,Artificial Intelligence,Computer Science,Physical Sciences,True,hybrid
Web of Science,Machine Translation,2026-05-31 09:54:00,9,OpenAlex,https://openalex.org/W4281741710,https://doi.org/10.1007/s11063-022-10835-4,A Comprehensive Survey on Various Fully Automatic Machine Translation Evaluation Metrics,2022,article,Neural Processing Letters,Springer Science+Business Media,Shweta Chauhan; Philemon Daniel,National Institute of Technology Hamirpur,79,60,7.2174,0.97488215,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed
Web of Science,Machine Translation,2026-05-31 09:54:00,10,OpenAlex,https://openalex.org/W3204448004,https://doi.org/10.1155/2021/3539155,Design and Testing of Automatic Machine Translation System Based on Chinese-English Phrase Translation,2021,article,Mobile Information Systems,IOS Press,Jing Ning; Haidong Ban,Xijing University,10,7,0.8395,0.79153878,Fuzzy Logic and Control Systems,Artificial Intelligence,Computer Science,Physical Sciences,True,hybrid
