system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4386394212,https://doi.org/10.14569/ijacsa.2023.0140838,"Advances in Value-based, Policy-based, and Deep Learning-based Reinforcement Learning",Science and Information Organization,2023,article,International Journal of Advanced Computer Science and Applications,Haewon Byeon,Inje University,27,16.0,3.317,0.92262338,Smart Systems and Machine Learning,Computer Networks and Communications,Computer Science,Physical Sciences,True,diamond,journal,False,English,KR,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3049728571,https://doi.org/10.1109/ccdc49329.2020.9164615,Overview of Reinforcement Learning Based on Value and Policy,null/unknown,2020,article,null/unknown,Yunting Liu; Yang Jia-ming; Liang Chen; Ting Guo; Yu Jiang,Shenyang Ligong University; Shenyang Normal University,26,15.0,1.3391,0.80424481,Elevator Systems and Control,Control and Systems Engineering,Engineering,Physical Sciences,False,closed,null/unknown,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3160974986,https://doi.org/10.1109/ichci51889.2020.00094,Analysis on Deep Reinforcement Learning in Industrial Robotic Arm,null/unknown,2020,article,null/unknown,Hengyue Guan,Shandong University,32,7.0,0.1488,0.51393887,Robot Manipulation and Learning,Control and Systems Engineering,Engineering,Physical Sciences,False,closed,null/unknown,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4383112908,https://doi.org/10.1109/tpami.2023.3292075,Transfer Learning in Deep Reinforcement Learning: A Survey,IEEE,2023,article,IEEE Transactions on Pattern Analysis and Machine Intelligence,Zhuangdi Zhu; Kaixiang Lin; Anil K. Jain; Jiayu Zhou,Michigan State University,274,656.0,108.3306,0.99979277,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,green,journal,False,English,US,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3138345820,https://doi.org/10.1145/3439706.3446883,Reinforcement Learning for Placement Optimization,null/unknown,2021,article,null/unknown,Anna Goldie; Azalia Mirhoseini,Google (United States),2,5.0,0.4011,0.58925351,Ferroelectric and Negative Capacitance Devices,Electrical and Electronic Engineering,Engineering,Physical Sciences,True,gold,null/unknown,False,English,US,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3200900716,https://doi.org/10.3390/app11188589,Reinforcement Learning and Physics,Multidisciplinary Digital Publishing Institute,2021,article,Applied Sciences,José D. Martín‐Guerrero; Lucas Lamata,Universitat de València; Universidad de Sevilla,62,43.0,4.8976,0.95910874,Quantum Computing Algorithms and Architecture,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,journal,False,English,ES,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4310584332,https://doi.org/10.1109/uemcon54665.2022.9965711,Meta Reinforcement Learning with Hebbian Learning,null/unknown,2022,article,"2022 IEEE 13th Annual Ubiquitous Computing, Electronics &amp; Mobile Communication Conference (UEMCON)",Di Wang,University of Illinois Chicago,52,12.0,1.2473,0.81905839,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,conference,False,English,US,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4285820043,https://doi.org/10.1007/978-3-031-10161-8_8,Assured Deep Multi-Agent Reinforcement Learning for Safe Robotic Systems,Springer,2022,book chapter,Lecture Notes in Computer Science,Joshua Riley; Radu Călinescu; Colin Paterson; Daniel Kudenko⋆; Alec Banks,University of York; L3S Research Center; Leibniz University Hannover,34,6.0,1.7109,0.86607487,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,book series,False,English,GB; DE,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2620974420,https://doi.org/10.5555/3091125.3091208,Reward Shaping in Episodic Reinforcement Learning,University of Kent,2017,article,Kent Academic Repository (University of Kent),Marek Grześ,University of Kent,28,80.0,7.6908,0.97743153,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,False,English,GB,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W1964500134,https://doi.org/10.1109/icsmc.2010.5642294,Reinforcement learning in continuous state space with perceptual aliasing by using complex-valued RBF network,null/unknown,2010,article,null/unknown,Takeshi Shibuya; Hideaki Arita; Tomoki Hamagami,University of Tsukuba; Yokohama National University,12,2.0,0.451,0.7067948,Neural Networks and Reservoir Computing,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,JP,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3020831056,https://doi.org/10.1023/a:1007694015589,Relational Reinforcement Learning,Springer,2001,article,Machine Learning,Sašo Džeroski; Luc De Raedt; Kurt Driessens,Jožef Stefan Institute; University of Freiburg; KU Leuven,51,380.0,21.8048,0.99414617,"Logic, Reasoning, and Knowledge",Artificial Intelligence,Computer Science,Physical Sciences,True,bronze,journal,False,English,SI; DE; BE,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2117316169,https://doi.org/10.1109/sice.2008.4654998,Swarm reinforcement learning algorithms based on Sarsa method,null/unknown,2008,article,null/unknown,Hitoshi Iima; Yasuaki Kuroe,Kyoto Institute of Technology,7,31.0,2.2882,0.89940859,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,JP,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3202546516,https://doi.org/10.1007/s10462-021-10061-9,Deep reinforcement learning in computer vision: a comprehensive survey,Springer,2021,article,Artificial Intelligence Review,Ngan Le; Vidhiwar Singh Rathour; Kashu Yamazaki; Khoa Luu; Marios Savvides,Carnegie Mellon University; University of Arkansas at Fayetteville,431,229.0,15.0325,0.99373071,Advanced Neural Network Applications,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,False,closed,journal,False,English,US,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2175592801,https://doi.org/10.1093/brain/awv329,Effective reinforcement learning following cerebellar damage requires a balance between exploration and motor noise,Oxford University Press,2015,article,Brain,Amanda S. Therrien; Daniel M. Wolpert; Amy J. Bastian,Johns Hopkins University; Johns Hopkins Medicine; Kennedy Krieger Institute; University of Cambridge,36,230.0,7.795,0.97622323,Vestibular and auditory disorders,Neurology,Neuroscience,Life Sciences,True,green,journal,False,English,US; GB,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4390533985,https://doi.org/10.1109/mc.2023.3324751,Forming Adversarial Example Attacks Against Deep Neural Networks With Reinforcement Learning,IEEE,2024,article,Computer,Matthew Akers; Armon Barton,Naval Postgraduate School,16,5.0,1.6557,0.85032071,Adversarial Robustness in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,US,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2129177996,https://doi.org/10.1109/chicc.2006.4347206,Reinforcement Strategy Using Quantum Amplitude Amplification for Robot Learning,null/unknown,2006,article,null/unknown,Dong Daoyi; Chen Chunlin; Han‐Xiong Li,City University of Hong Kong; Academy of Mathematics and Systems Science; Nanjing University,31,11.0,0.4657,0.75365149,Quantum Computing Algorithms and Architecture,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,HK; CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4399442576,https://doi.org/10.1007/978-3-031-61418-7_1,Algorithmic Foundations of Reinforcement Learning,Springer,2024,book chapter,Lecture notes in networks and systems,Stephan Pareigis,Universität Hamburg; HAW Hamburg,6,2.0,1.604,0.82537784,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,book series,False,English,DE,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3003533476,https://doi.org/10.1109/tits.2021.3054625,Deep Reinforcement Learning for Autonomous Driving: A Survey,Institute of Electrical and Electronics Engineers,2021,preprint,IEEE Transactions on Intelligent Transportation Systems,Bangalore Ravi Kiran; Ibrahim Sobh; Victor Talpaert; Patrick Mannion; Ahmad A. Al Sallab; Senthil Yogamani; Patrick Pérez,Valeo (France); École Nationale Supérieure de Techniques Avancées; Ollscoil na Gaillimhe - University of Galway; Valeo (Ireland),213,203.0,23.3773,0.99631745,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,green,journal,False,English,FR; IE,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3112644834,https://doi.org/10.1016/j.ins.2020.12.017,Recruitment-imitation mechanism for evolutionary reinforcement learning,Elsevier,2020,article,Information Sciences,Shuai Lü; Shuai D. Han; Wenbo Zhou; Junwei Zhang,Jilin University,52,31.0,2.332,0.90896543,Evolutionary Algorithms and Applications,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4399368812,https://doi.org/10.1007/s10015-024-00954-7,Inferring source of learning by chimpanzees in cognitive tasks using reinforcement learning theory,Springer,2024,article,Artificial Life and Robotics,Satoshi Hirata; Yutaka Sakai,Kyoto University; Japan Wildlife Research Center; Tamagawa University,17,0.0,0.0,0.08243423,Neural dynamics and brain function,Cognitive Neuroscience,Neuroscience,Life Sciences,True,green,journal,False,English,JP,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W1882507001,https://doi.org/10.1109/icsmc.2000.884995,State transition rate based reinforcement learning,null/unknown,2002,article,null/unknown,Takeshi Ohashi; Hisahide Nakamura; Junich Minatodani; T. Enokida; T. Yosida; Toshiaki Ejima,Kyushu Institute of Technology,4,0.0,0.0,0.08748119,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,JP,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W1627733477,https://doi.org/10.1109/ijcnn.2015.7280723,A comparative study between motivated learning and reinforcement learning,null/unknown,2015,article,null/unknown,James Graham; Janusz A. Starzyk; Zhen Ni; Haibo He; Teck-Hou Teng; Ah‐Hwee Tan,Ohio University; University of Rhode Island; Nanyang Technological University,40,5.0,1.3345,0.85665478,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,green,null/unknown,False,English,US; SG,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2786230833,https://doi.org/10.1109/icus.2017.8278398,A review of the applications and hotspots of reinforcement learning,null/unknown,2017,review,2017 IEEE International Conference on Unmanned Systems (ICUS),Jun Hou; Hua Li; Jinwen Hu; Chunhui Zhao; Yaning Guo; Sijia Li; Quan Pan,Northwestern Polytechnical University,37,11.0,1.0391,0.74044266,Adaptive Dynamic Programming Control,Computational Theory and Mathematics,Computer Science,Physical Sciences,False,closed,conference,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W1966803121,https://doi.org/10.1109/ictai.2012.51,Social Reinforcement Learning in Game Playing,null/unknown,2012,article,null/unknown,Chairi Kiourt; Dimitris Kalles,Hellenic Open University,22,11.0,1.2844,0.82197302,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,GR,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2897240599,https://doi.org/10.1159/000492670,Deep Reinforcement Learning in Medicine,Karger Publishers,2018,review,Kidney Diseases,Anders Jönsson,Pompeu Fabra University,11,75.0,4.7382,0.95914321,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,journal,False,English,ES,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4396216288,https://doi.org/10.1145/3661996,On the Opportunities and Challenges of Offline Reinforcement Learning for Recommender Systems,null/unknown,2024,article,ACM Transactions on Information Systems,Xiaocong Chen; Siyu Wang; Julian McAuley; Dietmar Jannach; Lina Yao,Commonwealth Scientific and Industrial Research Organisation; Data61; UNSW Sydney; University of California San Diego; University of Klagenfurt,63,12.0,5.9928,0.95955847,Advanced Bandit Algorithms Research,Management Science and Operations Research,Decision Sciences,Social Sciences,True,bronze,journal,False,English,AU; US; AT,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3216527022,https://doi.org/10.1109/swc50871.2021.00046,Towards Online Continuous Reinforcement Learning on Industrial Internet of Things,null/unknown,2021,article,null/unknown,Cheng Qian; Wei Yu; Xing Liu; David Griffith; Nada Golmie,Towson University; National Institute of Standards and Technology,23,6.0,0.7641,0.74200485,IoT and Edge/Fog Computing,Computer Networks and Communications,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,US,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4390742939,https://doi.org/10.1007/s11633-023-1454-4,Distributed Deep Reinforcement Learning: A Survey and a Multi-player Multi-agent Learning Toolbox,Springer,2024,article,Machine Intelligence Research,Qiyue Yin; Tongtong Yu; Shengqi Shen; Jun Yang; Meijing Zhao; Wancheng Ni; Kaiqi Huang; Bin Liang; Liang Wang,Chinese Academy of Sciences; Shandong Institute of Automation; University of Chinese Academy of Sciences; Tsinghua University; Center for Excellence in Brain Science and Intelligence Technology,46,32.0,10.5963,0.98586683,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,hybrid,journal,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2143115205,https://doi.org/10.1109/icis.2009.188,Analysis and Design of an Improved R-learning,null/unknown,2009,article,null/unknown,Wei Chen; Zhenkun Zhai; Xiong Li; Jing Guo,Guangdong University of Technology,10,0.0,0.0,0.12000492,Elevator Systems and Control,Control and Systems Engineering,Engineering,Physical Sciences,False,closed,null/unknown,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4364297108,https://doi.org/10.1109/sitis57111.2022.00102,Using Double Deep Q-Learning to learn Attitude Control of Fixed-Wing Aircraft,null/unknown,2022,article,null/unknown,David J. Richter; Ricardo A. Calix,Purdue University Northwest,35,13.0,1.3864,0.82735466,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,US,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3104519368,https://doi.org/10.1109/southeastcon44009.2020.9249674,Reinforcement Learning Adversarial Swarm Dynamics,null/unknown,2020,article,null/unknown,Davis S. Catherman; Cory Neville; J. S. Bloom; Samuel S. White,Worcester Polytechnic Institute,15,3.0,0.1542,0.5387727,Distributed Control Multi-Agent Systems,Computer Networks and Communications,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,US,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2770676902,https://doi.org/10.1109/icisce.2017.104,Monte-Carlo Bayesian Reinforcement Learning Using a Compact Factored Representation,null/unknown,2017,article,null/unknown,Bo Wu; Yanpeng Feng,Shenzhen Polytechnic,17,4.0,0.39,0.71701235,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4294873804,https://doi.org/10.1504/ijans.2022.125303,Meta Q-network: a combination of reinforcement learning and meta learning,null/unknown,2022,article,International Journal of Applied Nonlinear Science,Min Lu; Yi Wang; Wenfeng Wang,Shanghai Institute of Technology; Centre for Artificial Intelligence and Robotics,0,1.0,0.1326,0.52738657,Machine Learning and ELM,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,CN; IN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2089415692,https://doi.org/10.1162/089976699300016070,A Unified Analysis of Value-Function-Based Reinforcement-Learning Algorithms,MIT Press,1999,article,Neural Computation,Csaba Szepesvári; Michael L. Littman,Duke University,48,183.0,5.1967,0.95454932,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,US,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3081310128,https://doi.org/10.3390/electronics9091363,A Survey of Multi-Task Deep Reinforcement Learning,Multidisciplinary Digital Publishing Institute,2020,article,Electronics,Nelson Vithayathil Varghese; Qusay H. Mahmoud,Ontario Tech University,64,160.0,11.5594,0.98813888,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,journal,False,English,CA,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2025409479,https://doi.org/10.1109/sice.2007.4421144,Motion simulation of robot arm using reinforcement learning,null/unknown,2007,article,null/unknown,Takahito Oshiro; Kajiro Watanabe,Hosei University,1,2.0,0.0,0.06457425,Industrial Technology and Control Systems,Control and Systems Engineering,Engineering,Physical Sciences,False,closed,null/unknown,False,English,JP,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2539786292,https://doi.org/10.11499/sicep.2003.0_75_2,A proposal of reinforcement learning system to use knowledge effectively,null/unknown,2003,article,Society of Instrument and Control Engineers of Japan,Yukinobu Hoshino; Katsuhiko Kamei,Ritsumeikan University,4,8.0,0.4169,0.64699846,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,conference,False,English,JP,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3096351713,https://doi.org/10.1007/978-3-030-59854-9_2,Tracking the Race Between Deep Reinforcement Learning and Imitation Learning,Springer,2020,book chapter,Lecture Notes in Computer Science,Timo P. Gros; Daniel Höller; Jörg Hoffmann; Verena Wolf,Saarland University,17,12.0,2.1979,0.90471708,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,book series,False,English,DE,False
Web of Science,Reinforcement Learning,2026-04-29,Semantic Scholar,null/unknown,https://doi.org/10.1007/978-3-642-14831-6_27,Robot Reinforcement Learning Based on Learning Classifier System,null/unknown,2010,null/unknown,International Conference on Intelligent Computing,Jie Shao; Jing-yu Yang,null/unknown,6,0.0,null/unknown,null/unknown,Computer Science,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4410457583,https://doi.org/10.1016/j.engappai.2025.110998,Localizing state space for visual reinforcement learning in noisy environments,Elsevier,2025,article,Engineering Applications of Artificial Intelligence,Jing Cheng; Jingchen Li; Haobin Shi; Tao Zhang,Xi'an Technological University; Northwestern Polytechnical University,54,1.0,2.1733,0.88415942,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W198262770,https://doi.org/10.1007/978-3-642-29347-4_42,Fuzzy Epoch-Incremental Reinforcement Learning Algorithm,Springer,2012,book chapter,Lecture Notes in Computer Science,Roman Zajdel,Rzeszów University of Technology,20,1.0,0.3172,0.57054897,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,book series,False,English,PL,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4393147692,https://doi.org/10.1609/aaai.v38i9.28886,Rating-Based Reinforcement Learning,Association for the Advancement of Artificial Intelligence,2024,article,Proceedings of the AAAI Conference on Artificial Intelligence,Devin White; MingKang Wu; Ellen Novoseller; Vernon J. Lawhern; Nicholas R. Waytowich; Yongcan Cao,The University of Texas at San Antonio; United States Army Combat Capabilities Development Command; DEVCOM Army Research Laboratory,43,7.0,9.9135,0.99616858,Supply Chain and Inventory Management,Management Information Systems,"Business, Management and Accounting",Social Sciences,True,diamond,conference,False,English,US,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3146636758,null/unknown,Overview of Deep Reinforcement Learning Improvements and Applications,Taiwan Academic Network,2021,article,網際網路技術學刊,Junjie Zhang; Cong Zhang; Wei-Che Chien,null/unknown,0,8.0,0.8326,0.7177707,Advanced Sensor and Control Systems,Control and Systems Engineering,Engineering,Physical Sciences,False,closed,journal,False,English,null/unknown,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3113643172,https://doi.org/10.1109/ictc49870.2020.9289245,Federated Reinforcement Learning for Automatic Control in SDN-based IoT Environments,null/unknown,2020,article,null/unknown,Hyun-Kyo Lim; Ju-Bong Kim; Sang‐Youn Kim; Youn‐Hee Han,Korea University of Technology and Education,34,4.0,0.3084,0.62689248,Software-Defined Networks and 5G,Computer Networks and Communications,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,KR,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3128173490,https://doi.org/10.1109/icoin50884.2021.9333963,Riverbed Modeler Reinforcement Learning M&amp;S Framework Supported by Supervised Learning,null/unknown,2021,article,null/unknown,Gyu-min Lee; Cheol-Woong Lee; Byeong‐hee Roh,Ajou University,11,2.0,0.3056,0.56464361,Network Security and Intrusion Detection,Computer Networks and Communications,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,KR,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4410314585,https://doi.org/10.1016/j.egyai.2025.100514,"Reinforcement learning-based energy management for hybrid electric vehicles: A comprehensive up-to-date review on methods, challenges, and research gaps",Elsevier,2025,article,Energy and AI,Mohamed Nadir Boukoberine; Muhammad Fahad Zia; Tarek Berghout; Mohamed Benbouzid,null/unknown,145,20.0,12.2258,0.99027099,Electric and Hybrid Vehicle Technologies,Automotive Engineering,Engineering,Physical Sciences,True,gold,journal,False,English,null/unknown,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2941892493,https://doi.org/10.1088/1742-6596/1207/1/012014,Understanding the Reinforcement Learning,IOP Publishing,2019,article,Journal of Physics Conference Series,Nuo Xu,Dalian Jiaotong University,10,16.0,0.7226,0.7811808,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,diamond,journal,False,English,CN,True
